"C0","Latest.ChEBI","Compound.Type","Column","Compound.Name","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Emperical.Formula","RT..min.","m.z","ionization_form","z","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","CHEBI","KEGGNAME","name"
"cpd:C04083","ChEBI:17660","Phytohormone","RP","N6-Dimethylallyladenine","2iP","2iP","2iP","nd","nd","nd","5 - >10000","0.587","13.3","C10H13N5",4.18,NA,NA,-1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17660","N6-(delta2-Isopentenyl)-adenine; N6-(3-Methylbut-2-enyl)adenine; 6-(gamma,gamma-Dimethylallylamino)purine; N6-Dimethylallyladenine","N6-(Delta2-Isopentenyl)-adenine; N6-(3-Methylbut-2-enyl)adenine; 6-(gamma,gamma-Dimethylallylamino)purine; N6-Dimethylallyladenine"
"cpd:C11284","ChEBI:33070","Phytohormone","RP","Indolebutyric acid","3 Indolebutyric Acid","3 Indolebutyric Acid","Indolebutyric acid","50 - >10000","1.289","3.4","5 - >10000","1.174","1.1","C12H13NO2",7.45,204.10191,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:33070","Indolebutyric acid; Indole-3-butyric acid; IBA","Indolebutyric acid; Indole-3-butyric acid; IBA"
"cpd:C00230","ChEBI:36062","Lignin","RP","3,4-Dihydroxybenzoic acid","3,4-Dihydroxybenzoic acid","3,4-Dihydroxybenzoic acid","Dihydroxybenzoic acid","nd","nd","nd","250 - 50000","0.666","12.2","C7H5O4",2.55,153.018785,"[M]",-1,"CyanoAq","CyanoDCM",1.25,NA,160401,"ChEBI:36241","3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid","3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid"
"cpd:C02938","ChEBI:17566","Phytohormone","RP","3-Indoleacetonitrile","3-Indoleacetonitrile","3-Indoleacetonitrile","Indoleacetonitrile",NA,"0.919","22.7",NA,"0.885","3.3","C10H8N2",7.09,157.076573,"[M+H]",1,"CyanoAq","CyanoDCM",0.75,NA,160401,"ChEBI:17566","3-Indoleacetonitrile; Indol-3-ylacetonitrile; Indole-3-acetonitrile; (Indol-3-yl)acetonitrile","3-Indoleacetonitrile; Indol-3-ylacetonitrile; Indole-3-acetonitrile; (Indol-3-yl)acetonitrile"
"cpd:C11839","ChEBI:29640","Quorum sensing","RP","N-(3-Oxohexanoyl)homoserine lactone","3OC6-HSL","3OC6-HSL","3OC6 HSL","5000 - >10000","0.13","8.5","<0.5 - >10000","0.054","8.8","C10H15NO4",1.96,214.107934,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:29640","N-(3-Oxohexanoyl)homoserine lactone","N-(3-Oxohexanoyl)homoserine lactone"
"cpd:C11841",NA,"Quorum sensing","RP","N-(3-Oxooctanoyl)homoserine lactone","3OC8-HSL","3OC8-HSL","3OC8 HSL",NA,"0.244","7.3",NA,"0.185","1","C12H19NO4",5.28,242.139234,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"N-(3-Oxooctanoyl)homoserine lactone; N-(3-Oxooctanoyl)-L-homoserine lactone; OOHL","N-(3-Oxooctanoyl)homoserine lactone; N-(3-Oxooctanoyl)-L-homoserine lactone; OOHL"
"cpd:C00633","ChEBI:17597","Lignin","RP","4-hydroxybenzaldehyde","4-hydroxybenzaldehyde","4-hydroxybenzaldehyde","hydroxybenzaldehyde","nd","nd","nd","500 - >10000","0.531","7.6","C7H6O2",3.775,NA,NA,-1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17597","4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde","4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde"
"cpd:C01164","ChEBI:17759","Sterol","RP","7-Dehydrocholesterol","7-dehydrocholesterol","7-DHC","DHC","50 - 5000","1.065","11.7","<0.5 - 5000","0.814","4.5","C27H44O",13.89,367.336475,"[M-OH]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17759","7-Dehydrocholesterol; Provitamin D3; Cholesta-5,7-dien-3beta-ol","7-Dehydrocholesterol; Provitamin D3; Cholesta-5,7-dien-3beta-ol"
"cpd:C06082","ChEBI:2365","Phytohormone","RP","Abscisic acid","Abscisic Acid","Abscisic acid","Abscisic acid","5 - >10000","1","4.3","50 - >10000","0.828","1.8","C15H20O4",6.7,247.13342,"[M-OH]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:2365","Abscisate; Abscisic acid; (+)-Abscisic acid; ABA","Abscisate; Abscisic acid; (+)-Abscisic acid; ABA"
"cpd:C10664","ChEBI:2404","Lignin","RP","Acetosyringone","Acetosyringone","Acetosyringone","Acetosyringone","50 - >10000","1.044","12.1","500 - >10000","0.905","6.5","C10H12O4",5.765,197.081385,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:2404","Acetosyringone","Acetosyringone"
"cpd:C11380","ChEBI:2781","Lignin","RP","Acetovanillone","Acetovanillone","Acetovanillone","Acetovanillone","50 - >10000","1.03","12.2","50 - >10000","0.792","3.6","C9H10O3",5.38,167.07082,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:2781","Apocynin; Acetovanillone","Apocynin; Acetovanillone"
"cpd:C02571","ChEBI:15960","New2","RP","O-Acetylcarnitine","Acetyl-L-carnitine","carnitine","carnitine",NA,NA,NA,NA,NA,NA,"C9H17NO4",0.82,204.123584,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,180130,"ChEBI:57589","O-Acetylcarnitine; O-Acetyl-L-carnitine","O-Acetylcarnitine; O-Acetyl-L-carnitine"
"cpd:C02571","ChEBI:15960","New2","HILIC","O-Acetylcarnitine","Acetyl-L-carnitine","carnitine","carnitine",NA,NA,NA,NA,NA,NA,"C9H17NO4",7.22,204.123584,"[M+H]",1,"HILICPos",NA,4,"Mix1",180130,"ChEBI:57589","O-Acetylcarnitine; O-Acetyl-L-carnitine","O-Acetylcarnitine; O-Acetyl-L-carnitine"
